"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32754","It should validate Custom Tool","","Thu May 29 15:05:33 PKT 2025","passed","Thu May 29 15:06:05 PKT 2025","","Image Editor","",""
"","19702","It should validate Blur Tool","","Thu May 29 15:09:42 PKT 2025","passed","Thu May 29 15:10:01 PKT 2025","","Image Editor","",""
"","9639","It should validate White Fisheye Tool","","Thu May 29 15:12:33 PKT 2025","passed","Thu May 29 15:12:42 PKT 2025","","Image Editor","",""
"","6472","It should validate White Curves Tool","","Thu May 29 15:12:11 PKT 2025","passed","Thu May 29 15:12:18 PKT 2025","","Image Editor","",""
"","7697","It should validate White Balance Tool","","Thu May 29 15:12:03 PKT 2025","passed","Thu May 29 15:12:11 PKT 2025","","Image Editor","",""
"","83182","It should validate Overlay Tool","","Thu May 29 15:10:01 PKT 2025","passed","Thu May 29 15:11:25 PKT 2025","","Image Editor","",""
"","3732","It should validate Magic Tool","","Thu May 29 15:06:05 PKT 2025","passed","Thu May 29 15:06:09 PKT 2025","","Image Editor","",""
"","33465","It should validate Neon Tool","","Thu May 29 15:07:22 PKT 2025","passed","Thu May 29 15:07:55 PKT 2025","","Image Editor","",""
"","6017","It should validate Flip Tool","","Thu May 29 15:09:36 PKT 2025","passed","Thu May 29 15:09:42 PKT 2025","","Image Editor","",""
"","240233","It should validate Presets","","Thu May 29 15:01:32 PKT 2025","passed","Thu May 29 15:05:33 PKT 2025","","Image Editor","",""
"","17044","It should validate Crop Tool","","Thu May 29 15:07:05 PKT 2025","passed","Thu May 29 15:07:22 PKT 2025","","Image Editor","",""
"","13832","It should validate Tune Tool","","Thu May 29 15:06:09 PKT 2025","passed","Thu May 29 15:06:23 PKT 2025","","Image Editor","",""
"","35451","It should validate Sticker Tool","","Thu May 29 15:08:07 PKT 2025","passed","Thu May 29 15:08:42 PKT 2025","","Image Editor","",""
"","26300","It should validate Text Tool","","Thu May 29 15:08:42 PKT 2025","passed","Thu May 29 15:09:09 PKT 2025","","Image Editor","",""
"","26916","It should validate Draw Tool","","Thu May 29 15:09:09 PKT 2025","passed","Thu May 29 15:09:36 PKT 2025","","Image Editor","",""
"","15180","It should validate White Vintage Tool","","Thu May 29 15:12:18 PKT 2025","passed","Thu May 29 15:12:33 PKT 2025","","Image Editor","",""
"","11422","It should validate Fade Tool","","Thu May 29 15:07:55 PKT 2025","passed","Thu May 29 15:08:07 PKT 2025","","Image Editor","",""
"","38887","It should validate Blend Tool","","Thu May 29 15:11:25 PKT 2025","passed","Thu May 29 15:12:03 PKT 2025","","Image Editor","",""
"","42066","It should validate Color Tool","","Thu May 29 15:06:23 PKT 2025","passed","Thu May 29 15:07:05 PKT 2025","","Image Editor","",""
